pokemon_id,pokemon_name,form_name,hp,attack,defense,sp_attack,sp_defense,speed,stat_total,source_name,source_url,source_record_id,extracted_at_utc,dataset_version
1,bulbasaur,bulbasaur,45,49,49,65,65,45,318,PokéAPI,https://pokeapi.co/api/v2/pokemon/1,1,2026-07-18T17:07:15.810601+00:00,0.0.0-dev
2,ivysaur,ivysaur,60,62,63,80,80,60,405,PokéAPI,https://pokeapi.co/api/v2/pokemon/2,2,2026-07-18T17:07:15.810601+00:00,0.0.0-dev
3,venusaur,venusaur,80,82,83,100,100,80,525,PokéAPI,https://pokeapi.co/api/v2/pokemon/3,3,2026-07-18T17:07:15.810601+00:00,0.0.0-dev
4,charmander,charmander,39,52,43,60,50,65,309,PokéAPI,https://pokeapi.co/api/v2/pokemon/4,4,2026-07-18T17:07:15.810601+00:00,0.0.0-dev
5,charmeleon,charmeleon,58,64,58,80,65,80,405,PokéAPI,https://pokeapi.co/api/v2/pokemon/5,5,2026-07-18T17:07:15.810601+00:00,0.0.0-dev
6,charizard,charizard,78,84,78,109,85,100,534,PokéAPI,https://pokeapi.co/api/v2/pokemon/6,6,2026-07-18T17:07:15.810601+00:00,0.0.0-dev
7,squirtle,squirtle,44,48,65,50,64,43,314,PokéAPI,https://pokeapi.co/api/v2/pokemon/7,7,2026-07-18T17:07:15.810601+00:00,0.0.0-dev
8,wartortle,wartortle,59,63,80,65,80,58,405,PokéAPI,https://pokeapi.co/api/v2/pokemon/8,8,2026-07-18T17:07:15.810601+00:00,0.0.0-dev
9,blastoise,blastoise,79,83,100,85,105,78,530,PokéAPI,https://pokeapi.co/api/v2/pokemon/9,9,2026-07-18T17:07:15.810601+00:00,0.0.0-dev
10,caterpie,caterpie,45,30,35,20,20,45,195,PokéAPI,https://pokeapi.co/api/v2/pokemon/10,10,2026-07-18T17:07:15.810601+00:00,0.0.0-dev
11,metapod,metapod,50,20,55,25,25,30,205,PokéAPI,https://pokeapi.co/api/v2/pokemon/11,11,2026-07-18T17:07:15.810601+00:00,0.0.0-dev
12,butterfree,butterfree,60,45,50,90,80,70,395,PokéAPI,https://pokeapi.co/api/v2/pokemon/12,12,2026-07-18T17:07:15.810601+00:00,0.0.0-dev
